Time,X(CH1),
Second,Volt,
-3.0000001e-01,5.60000e-04,
-2.9900002e-01,3.19999e-04,
-2.9800004e-01,3.19999e-04,
-2.9700005e-01,8.00000e-04,
-2.9600006e-01,5.60000e-04,
-2.9500008e-01,3.19999e-04,
-2.9400009e-01,3.19999e-04,
-2.9300010e-01,6.39999e-04,
-2.9200011e-01,3.19999e-04,
-2.9100013e-01,6.39999e-04,
-2.9000014e-01,5.60000e-04,
-2.8900015e-01,2.39999e-04,
-2.8800017e-01,5.60000e-04,
-2.8700018e-01,2.39999e-04,
-2.8600019e-01,2.39999e-04,
-2.8500021e-01,4.79999e-04,
-2.8400022e-01,2.39999e-04,
-2.8300023e-01,4.79999e-04,
-2.8200024e-01,1.59999e-04,
-2.8100026e-01,4.79999e-04,
-2.8000027e-01,2.39999e-04,
-2.7900028e-01,4.79999e-04,
-2.7800030e-01,3.99999e-04,
-2.7700031e-01,1.59999e-04,
-2.7600032e-01,3.19999e-04,
-2.7500033e-01,7.99987e-05,
-2.7400035e-01,2.39999e-04,
-2.7300036e-01,7.99987e-05,
-2.7200037e-01,7.99987e-05,
-2.7100039e-01,3.19999e-04,
-2.7000040e-01,3.19999e-04,
-2.6900041e-01,7.99987e-05,
-2.6800042e-01,2.39999e-04,
-2.6700044e-01,7.99987e-05,
-2.6600045e-01,2.39999e-04,
-2.6500046e-01,-9.31323e-10,
-2.6400048e-01,2.39999e-04,
-2.6300049e-01,-9.31323e-10,
-2.6200050e-01,-9.31323e-10,
-2.6100051e-01,2.39999e-04,
-2.6000053e-01,2.39999e-04,
-2.5900054e-01,-8.00006e-05,
-2.5800055e-01,1.59999e-04,
-2.5700057e-01,-8.00006e-05,
-2.5600058e-01,1.59999e-04,
-2.5500059e-01,-8.00006e-05,
-2.5400060e-01,-9.31323e-10,
-2.5300062e-01,2.39999e-04,
-2.5200063e-01,2.39999e-04,
-2.5100064e-01,-1.60001e-04,
-2.5000066e-01,1.59999e-04,
-2.4900065e-01,-1.60001e-04,
-2.4800065e-01,-8.00006e-05,
-2.4700065e-01,2.39999e-04,
-2.4600065e-01,1.59999e-04,
-2.4500065e-01,-8.00006e-05,
-2.4400064e-01,-8.00006e-05,
-2.4300064e-01,2.39999e-04,
-2.4200064e-01,-9.31323e-10,
-2.4100064e-01,2.39999e-04,
-2.4000064e-01,-9.31323e-10,
-2.3900063e-01,2.39999e-04,
-2.3800063e-01,7.99987e-05,
-2.3700063e-01,3.19999e-04,
-2.3600063e-01,2.39999e-04,
-2.3500063e-01,-9.31323e-10,
-2.3400062e-01,3.19999e-04,
-2.3300062e-01,7.99987e-05,
-2.3200062e-01,3.19999e-04,
-2.3100062e-01,7.99987e-05,
-2.3000062e-01,1.59999e-04,
-2.2900061e-01,4.79999e-04,
-2.2800061e-01,1.59999e-04,
-2.2700061e-01,4.79999e-04,
-2.2600061e-01,4.79999e-04,
-2.2500060e-01,1.59999e-04,
-2.2400060e-01,4.79999e-04,
-2.2300060e-01,2.39999e-04,
-2.2200060e-01,2.39999e-04,
-2.2100060e-01,5.60000e-04,
-2.2000059e-01,2.39999e-04,
-2.1900059e-01,5.60000e-04,
-2.1800059e-01,4.79999e-04,
-2.1700059e-01,2.39999e-04,
-2.1600059e-01,3.19999e-04,
-2.1500058e-01,5.60000e-04,
-2.1400058e-01,5.60000e-04,
-2.1300058e-01,3.19999e-04,
-2.1200058e-01,3.19999e-04,
-2.1100058e-01,5.60000e-04,
-2.1000057e-01,3.19999e-04,
-2.0900057e-01,7.19999e-04,
-2.0800057e-01,2.39999e-04,
-2.0700057e-01,8.00000e-04,
-2.0600057e-01,3.19999e-04,
-2.0500056e-01,6.39999e-04,
-2.0400056e-01,5.60000e-04,
-2.0300056e-01,2.39999e-04,
-2.0200056e-01,3.19999e-04,
-2.0100056e-01,5.60000e-04,
-2.0000055e-01,3.19999e-04,
-1.9900055e-01,6.39999e-04,
-1.9800055e-01,3.19999e-04,
-1.9700055e-01,6.39999e-04,
-1.9600055e-01,5.60000e-04,
-1.9500054e-01,2.39999e-04,
-1.9400054e-01,2.39999e-04,
-1.9300054e-01,6.39999e-04,
-1.9200054e-01,3.19999e-04,
-1.9100054e-01,5.60000e-04,
-1.9000053e-01,2.39999e-04,
-1.8900053e-01,5.60000e-04,
-1.8800053e-01,5.60000e-04,
-1.8700053e-01,3.19999e-04,
-1.8600053e-01,6.39999e-04,
-1.8500052e-01,2.39999e-04,
-1.8400052e-01,5.60000e-04,
-1.8300052e-01,2.39999e-04,
-1.8200052e-01,4.79999e-04,
-1.8100052e-01,1.59999e-04,
-1.8000051e-01,1.59999e-04,
-1.7900051e-01,4.79999e-04,
-1.7800051e-01,1.59999e-04,
-1.7700051e-01,3.99999e-04,
-1.7600051e-01,1.59999e-04,
-1.7500050e-01,3.99999e-04,
-1.7400050e-01,3.19999e-04,
-1.7300050e-01,7.99987e-05,
-1.7200050e-01,3.19999e-04,
-1.7100050e-01,7.99987e-05,
-1.7000049e-01,2.39999e-04,
-1.6900049e-01,-9.31323e-10,
-1.6800049e-01,2.39999e-04,
-1.6700049e-01,-8.00006e-05,
-1.6600049e-01,3.19999e-04,
-1.6500048e-01,-9.31323e-10,
-1.6400048e-01,-9.31323e-10,
-1.6300048e-01,2.39999e-04,
-1.6200048e-01,3.19999e-04,
-1.6100048e-01,-8.00006e-05,
-1.6000047e-01,2.39999e-04,
-1.5900047e-01,-8.00006e-05,
-1.5800047e-01,1.59999e-04,
-1.5700047e-01,-1.60001e-04,
-1.5600047e-01,1.59999e-04,
-1.5500046e-01,-8.00006e-05,
-1.5400046e-01,-8.00006e-05,
-1.5300046e-01,1.59999e-04,
-1.5200046e-01,-8.00006e-05,
-1.5100046e-01,2.39999e-04,
-1.5000045e-01,1.59999e-04,
-1.4900045e-01,-8.00006e-05,
-1.4800045e-01,-9.31323e-10,
-1.4700045e-01,1.59999e-04,
-1.4600044e-01,1.59999e-04,
-1.4500044e-01,-8.00006e-05,
-1.4400044e-01,-9.31323e-10,
-1.4300044e-01,2.39999e-04,
-1.4200044e-01,2.39999e-04,
-1.4100043e-01,-8.00006e-05,
-1.4000043e-01,-8.00006e-05,
-1.3900043e-01,2.39999e-04,
-1.3800043e-01,2.39999e-04,
-1.3700043e-01,-9.31323e-10,
-1.3600042e-01,7.99987e-05,
-1.3500042e-01,3.19999e-04,
-1.3400042e-01,3.19999e-04,
-1.3300042e-01,7.99987e-05,
-1.3200042e-01,2.39999e-04,
-1.3100041e-01,-9.31323e-10,
-1.3000041e-01,1.59999e-04,
-1.2900041e-01,3.19999e-04,
-1.2800041e-01,3.99999e-04,
-1.2700041e-01,1.59999e-04,
-1.2600040e-01,4.79999e-04,
-1.2500040e-01,2.39999e-04,
-1.2400040e-01,3.99999e-04,
-1.2300040e-01,1.59999e-04,
-1.2200040e-01,4.79999e-04,
-1.2100039e-01,1.59999e-04,
-1.2000039e-01,1.59999e-04,
-1.1900039e-01,4.79999e-04,
-1.1800039e-01,4.79999e-04,
-1.1700039e-01,1.59999e-04,
-1.1600038e-01,4.79999e-04,
-1.1500038e-01,2.39999e-04,
-1.1400038e-01,5.60000e-04,
-1.1300038e-01,2.39999e-04,
-1.1200038e-01,2.39999e-04,
-1.1100037e-01,6.39999e-04,
-1.1000037e-01,5.60000e-04,
-1.0900037e-01,2.39999e-04,
-1.0800037e-01,3.19999e-04,
-1.0700037e-01,5.60000e-04,
-1.0600036e-01,6.39999e-04,
-1.0500036e-01,2.39999e-04,
-1.0400036e-01,3.19999e-04,
-1.0300036e-01,5.60000e-04,
-1.0200036e-01,6.39999e-04,
-1.0100035e-01,3.19999e-04,
-1.0000035e-01,3.19999e-04,
-9.9000350e-02,7.19999e-04,
-9.8000348e-02,6.39999e-04,
-9.7000346e-02,2.39999e-04,
-9.6000344e-02,6.39999e-04,
-9.5000342e-02,2.39999e-04,
-9.4000340e-02,3.19999e-04,
-9.3000337e-02,5.60000e-04,
-9.2000335e-02,3.19999e-04,
-9.1000333e-02,6.39999e-04,
-9.0000331e-02,5.60000e-04,
-8.9000329e-02,3.19999e-04,
-8.8000327e-02,2.39999e-04,
-8.7000325e-02,5.60000e-04,
-8.6000323e-02,2.39999e-04,
-8.5000321e-02,4.79999e-04,
-8.4000319e-02,4.79999e-04,
-8.3000317e-02,1.59999e-04,
-8.2000315e-02,1.59999e-04,
-8.1000313e-02,3.99999e-04,
-8.0000311e-02,1.59999e-04,
-7.9000309e-02,4.79999e-04,
-7.8000307e-02,1.59999e-04,
-7.7000305e-02,3.99999e-04,
-7.6000303e-02,3.19999e-04,
-7.5000301e-02,1.59999e-04,
-7.4000299e-02,3.19999e-04,
-7.3000297e-02,7.99987e-05,
-7.2000295e-02,-9.31323e-10,
-7.1000293e-02,3.19999e-04,
-7.0000291e-02,-8.00006e-05,
-6.9000289e-02,3.19999e-04,
-6.8000287e-02,7.99987e-05,
-6.7000285e-02,2.39999e-04,
-6.6000283e-02,3.19999e-04,
-6.5000281e-02,-9.31323e-10,
-6.4000279e-02,-9.31323e-10,
-6.3000277e-02,2.39999e-04,
-6.2000278e-02,2.39999e-04,
-6.1000280e-02,-8.00006e-05,
-6.0000282e-02,1.59999e-04,
-5.9000283e-02,-1.60001e-04,
-5.8000285e-02,-8.00006e-05,
-5.7000287e-02,1.59999e-04,
-5.6000289e-02,1.59999e-04,
-5.5000290e-02,-1.60001e-04,
-5.4000292e-02,1.59999e-04,
-5.3000294e-02,-1.60001e-04,
-5.2000295e-02,-8.00006e-05,
-5.1000297e-02,2.39999e-04,
-5.0000299e-02,-1.60001e-04,
-4.9000300e-02,1.59999e-04,
-4.8000302e-02,-8.00006e-05,
-4.7000304e-02,1.59999e-04,
-4.6000306e-02,-8.00006e-05,
-4.5000307e-02,2.39999e-04,
-4.4000309e-02,1.59999e-04,
-4.3000311e-02,-8.00006e-05,
-4.2000312e-02,-8.00006e-05,
-4.1000314e-02,1.59999e-04,
-4.0000316e-02,-8.00006e-05,
-3.9000317e-02,1.59999e-04,
-3.8000319e-02,1.59999e-04,
-3.7000321e-02,-8.00006e-05,
-3.6000323e-02,-8.00006e-05,
-3.5000324e-02,2.39999e-04,
-3.4000326e-02,2.39999e-04,
-3.3000328e-02,-9.31323e-10,
-3.2000329e-02,-8.00006e-05,
-3.1000329e-02,2.39999e-04,
-3.0000329e-02,2.39999e-04,
-2.9000329e-02,-9.31323e-10,
-2.8000329e-02,7.99987e-05,
-2.7000329e-02,3.19999e-04,
-2.6000328e-02,1.59999e-04,
-2.5000328e-02,3.99999e-04,
-2.4000328e-02,3.99999e-04,
-2.3000328e-02,7.99987e-05,
-2.2000328e-02,4.79999e-04,
-2.1000328e-02,2.39999e-04,
-2.0000327e-02,2.39999e-04,
-1.9000327e-02,4.79999e-04,
-1.8000327e-02,2.39999e-04,
-1.7000327e-02,4.79999e-04,
-1.6000327e-02,2.39999e-04,
-1.5000327e-02,5.60000e-04,
-1.4000326e-02,4.79999e-04,
-1.3000326e-02,1.59999e-04,
-1.2000326e-02,5.60000e-04,
-1.1000326e-02,2.39999e-04,
-1.0000326e-02,3.19999e-04,
-9.0003256e-03,5.60000e-04,
-8.0003254e-03,5.60000e-04,
-7.0003252e-03,2.39999e-04,
-6.0003251e-03,5.60000e-04,
-5.0003249e-03,2.39999e-04,
-4.0003248e-03,2.39999e-04,
-3.0003246e-03,5.60000e-04,
-2.0003244e-03,5.60000e-04,
-1.0003244e-03,3.19999e-04,
-3.2433309e-07,5.60000e-04,
9.9967571e-04,2.39999e-04,
1.9996758e-03,5.60000e-04,
2.9996759e-03,3.19999e-04,
3.9996761e-03,5.60000e-04,
4.9996763e-03,3.19999e-04,
5.9996764e-03,5.60000e-04,
6.9996766e-03,3.19999e-04,
7.9996763e-03,2.39999e-04,
8.9996764e-03,5.60000e-04,
9.9996766e-03,3.19999e-04,
1.0999677e-02,5.60000e-04,
1.1999677e-02,4.79999e-04,
1.2999677e-02,1.59999e-04,
1.3999677e-02,2.39999e-04,
1.4999677e-02,5.60000e-04,
1.5999677e-02,4.79999e-04,
1.6999677e-02,1.59999e-04,
1.7999677e-02,4.79999e-04,
1.8999677e-02,1.59999e-04,
1.9999677e-02,4.79999e-04,
2.0999677e-02,1.59999e-04,
2.1999678e-02,3.19999e-04,
2.2999678e-02,1.59999e-04,
2.3999678e-02,3.19999e-04,
2.4999678e-02,1.59999e-04,
2.5999678e-02,3.19999e-04,
2.6999678e-02,-8.00006e-05,
2.7999679e-02,-9.31323e-10,
2.8999679e-02,3.19999e-04,
2.9999679e-02,2.39999e-04,
3.0999679e-02,7.99987e-05,
3.1999677e-02,-8.00006e-05,
3.2999676e-02,3.19999e-04,
3.3999674e-02,2.39999e-04,
3.4999672e-02,-8.00006e-05,
3.5999671e-02,1.59999e-04,
3.6999669e-02,-8.00006e-05,
3.7999667e-02,3.19999e-04,
3.8999666e-02,-8.00006e-05,
3.9999664e-02,1.59999e-04,
4.0999662e-02,-1.60001e-04,
4.1999660e-02,-9.31323e-10,
4.2999659e-02,2.39999e-04,
4.3999657e-02,1.59999e-04,
4.4999655e-02,-1.60001e-04,
4.5999654e-02,-8.00006e-05,
4.6999652e-02,1.59999e-04,
4.7999650e-02,-8.00006e-05,
4.8999649e-02,2.39999e-04,
4.9999647e-02,-8.00006e-05,
5.0999645e-02,3.19999e-04,
5.1999643e-02,1.59999e-04,
5.2999642e-02,-1.60001e-04,
5.3999640e-02,-1.60001e-04,
5.4999638e-02,1.59999e-04,
5.5999637e-02,1.59999e-04,
5.6999635e-02,-1.60001e-04,
5.7999633e-02,-8.00006e-05,
5.8999632e-02,1.59999e-04,
5.9999630e-02,2.39999e-04,
6.0999628e-02,-8.00006e-05,
6.1999626e-02,-8.00006e-05,
6.2999628e-02,2.39999e-04,
6.3999631e-02,-8.00006e-05,
6.4999633e-02,2.39999e-04,
6.5999635e-02,-9.31323e-10,
6.6999637e-02,2.39999e-04,
6.7999639e-02,2.39999e-04,
6.8999641e-02,-9.31323e-10,
6.9999643e-02,7.99987e-05,
7.0999645e-02,3.19999e-04,
7.1999647e-02,7.99987e-05,
7.2999649e-02,3.99999e-04,
7.3999651e-02,1.59999e-04,
7.4999653e-02,4.79999e-04,
7.5999655e-02,3.19999e-04,
7.6999657e-02,1.59999e-04,
7.7999659e-02,1.59999e-04,
7.8999661e-02,4.79999e-04,
7.9999663e-02,2.39999e-04,
8.0999665e-02,4.79999e-04,
8.1999667e-02,5.60000e-04,
8.2999669e-02,2.39999e-04,
8.3999671e-02,2.39999e-04,
8.4999673e-02,5.60000e-04,
8.5999675e-02,2.39999e-04,
8.6999677e-02,4.79999e-04,
8.7999679e-02,4.79999e-04,
8.8999681e-02,2.39999e-04,
8.9999683e-02,2.39999e-04,
9.0999685e-02,5.60000e-04,
9.1999687e-02,3.19999e-04,
9.2999689e-02,5.60000e-04,
9.3999691e-02,2.39999e-04,
9.4999693e-02,5.60000e-04,
9.5999695e-02,3.19999e-04,
9.6999697e-02,5.60000e-04,
9.7999699e-02,6.39999e-04,
9.8999701e-02,3.19999e-04,
9.9999703e-02,5.60000e-04,
1.0099971e-01,3.19999e-04,
1.0199971e-01,5.60000e-04,
1.0299971e-01,2.39999e-04,
1.0399971e-01,4.79999e-04,
1.0499971e-01,1.59999e-04,
1.0599972e-01,5.60000e-04,
1.0699972e-01,2.39999e-04,
1.0799972e-01,2.39999e-04,
1.0899972e-01,5.60000e-04,
1.0999972e-01,4.79999e-04,
1.1099973e-01,2.39999e-04,
1.1199973e-01,4.79999e-04,
1.1299973e-01,1.59999e-04,
1.1399973e-01,2.39999e-04,
1.1499973e-01,5.60000e-04,
1.1599974e-01,3.19999e-04,
1.1699974e-01,7.99987e-05,
1.1799974e-01,5.60000e-04,
1.1899974e-01,7.99987e-05,
1.1999974e-01,3.19999e-04,
1.2099975e-01,-8.00006e-05,
1.2199975e-01,2.39999e-04,
1.2299975e-01,7.99987e-05,
1.2399975e-01,3.19999e-04,
1.2499975e-01,-9.31323e-10,
1.2599975e-01,1.59999e-04,
1.2699975e-01,-1.60001e-04,
1.2799975e-01,7.99987e-05,
1.2899975e-01,2.39999e-04,
1.2999976e-01,7.99987e-05,
1.3099976e-01,2.39999e-04,
1.3199976e-01,2.39999e-04,
1.3299976e-01,-8.00006e-05,
1.3399976e-01,-9.31323e-10,
1.3499977e-01,2.39999e-04,
1.3599977e-01,2.39999e-04,
1.3699977e-01,-8.00006e-05,
1.3799977e-01,-9.31323e-10,
1.3899978e-01,2.39999e-04,
1.3999978e-01,-8.00006e-05,
1.4099978e-01,2.39999e-04,
1.4199978e-01,2.39999e-04,
1.4299978e-01,-9.31323e-10,
1.4399979e-01,-8.00006e-05,
1.4499979e-01,3.19999e-04,
1.4599979e-01,1.59999e-04,
1.4699979e-01,-1.60001e-04,
1.4799979e-01,1.59999e-04,
1.4899980e-01,-1.60001e-04,
1.4999980e-01,2.39999e-04,
1.5099980e-01,-8.00006e-05,
1.5199980e-01,1.59999e-04,
1.5299980e-01,-1.60001e-04,
1.5399981e-01,1.59999e-04,
1.5499981e-01,-1.60001e-04,
1.5599981e-01,1.59999e-04,
1.5699981e-01,-1.60001e-04,
1.5799981e-01,-8.00006e-05,
1.5899982e-01,1.59999e-04,
1.5999982e-01,-8.00006e-05,
1.6099982e-01,2.39999e-04,
1.6199982e-01,1.59999e-04,
1.6299982e-01,-8.00006e-05,
1.6399983e-01,-9.31323e-10,
1.6499983e-01,3.19999e-04,
1.6599983e-01,2.39999e-04,
1.6699983e-01,-9.31323e-10,
1.6799983e-01,7.99987e-05,
1.6899984e-01,3.99999e-04,
1.6999984e-01,7.99987e-05,
1.7099984e-01,3.19999e-04,
1.7199984e-01,7.99987e-05,
1.7299984e-01,3.19999e-04,
1.7399985e-01,1.59999e-04,
1.7499985e-01,3.19999e-04,
1.7599985e-01,1.59999e-04,
1.7699985e-01,4.79999e-04,
1.7799985e-01,3.99999e-04,
1.7899986e-01,1.59999e-04,
1.7999986e-01,2.39999e-04,
1.8099986e-01,4.79999e-04,
1.8199986e-01,2.39999e-04,
1.8299986e-01,5.60000e-04,
1.8399987e-01,4.79999e-04,
1.8499987e-01,2.39999e-04,
1.8599987e-01,2.39999e-04,
1.8699987e-01,4.79999e-04,
1.8799987e-01,5.60000e-04,
1.8899988e-01,2.39999e-04,
1.8999988e-01,3.19999e-04,
1.9099988e-01,5.60000e-04,
1.9199988e-01,3.19999e-04,
1.9299988e-01,6.39999e-04,
1.9399989e-01,3.19999e-04,
1.9499989e-01,5.60000e-04,
1.9599989e-01,3.19999e-04,
1.9699989e-01,7.19999e-04,
1.9799989e-01,5.60000e-04,
1.9899990e-01,3.19999e-04,
1.9999990e-01,3.19999e-04,
2.0099990e-01,6.39999e-04,
2.0199990e-01,3.19999e-04,
2.0299990e-01,6.39999e-04,
2.0399991e-01,1.59999e-04,
2.0499991e-01,5.60000e-04,
2.0599991e-01,3.19999e-04,
2.0699991e-01,5.60000e-04,
2.0799991e-01,2.39999e-04,
2.0899992e-01,6.39999e-04,
2.0999992e-01,5.60000e-04,
2.1099992e-01,3.19999e-04,
2.1199992e-01,5.60000e-04,
2.1299993e-01,2.39999e-04,
2.1399993e-01,4.79999e-04,
2.1499993e-01,2.39999e-04,
2.1599993e-01,4.79999e-04,
2.1699993e-01,2.39999e-04,
2.1799994e-01,1.59999e-04,
2.1899994e-01,3.99999e-04,
2.1999994e-01,3.19999e-04,
2.2099994e-01,7.99987e-05,
2.2199994e-01,3.19999e-04,
2.2299995e-01,1.59999e-04,
2.2399995e-01,3.19999e-04,
2.2499995e-01,1.59999e-04,
2.2599995e-01,3.19999e-04,
2.2699995e-01,7.99987e-05,
2.2799996e-01,3.19999e-04,
2.2899996e-01,7.99987e-05,
2.2999996e-01,2.39999e-04,
2.3099996e-01,7.99987e-05,
2.3199996e-01,7.99987e-05,
2.3299997e-01,3.19999e-04,
2.3399997e-01,2.39999e-04,
2.3499997e-01,-9.31323e-10,
2.3599997e-01,2.39999e-04,
2.3699997e-01,-9.31323e-10,
2.3799998e-01,1.59999e-04,
2.3899998e-01,-8.00006e-05,
2.3999998e-01,-8.00006e-05,
2.4099998e-01,2.39999e-04,
2.4199998e-01,2.39999e-04,
2.4299999e-01,-8.00006e-05,
2.4399999e-01,-8.00006e-05,
2.4499999e-01,2.39999e-04,
2.4599999e-01,-8.00006e-05,
2.4699999e-01,2.39999e-04,
2.4800000e-01,-1.60001e-04,
2.4900000e-01,2.39999e-04,
2.5000000e-01,1.59999e-04,
2.5099999e-01,-8.00006e-05,
2.5199997e-01,-1.60001e-04,
2.5299996e-01,2.39999e-04,
2.5399995e-01,-8.00006e-05,
2.5499994e-01,2.39999e-04,
2.5599992e-01,2.39999e-04,
2.5699991e-01,-9.31323e-10,
2.5799990e-01,1.59999e-04,
2.5899988e-01,-8.00006e-05,
2.5999987e-01,2.39999e-04,
2.6099986e-01,-8.00006e-05,
2.6199985e-01,2.39999e-04,
2.6299983e-01,-9.31323e-10,
2.6399982e-01,-9.31323e-10,
2.6499981e-01,3.19999e-04,
2.6599979e-01,2.39999e-04,
2.6699978e-01,-9.31323e-10,
2.6799977e-01,7.99987e-05,
2.6899976e-01,3.19999e-04,
2.6999974e-01,3.19999e-04,
2.7099973e-01,7.99987e-05,
2.7199972e-01,1.59999e-04,
2.7299970e-01,3.19999e-04,
2.7399969e-01,3.19999e-04,
2.7499968e-01,7.99987e-05,
2.7599967e-01,1.59999e-04,
2.7699965e-01,3.99999e-04,
2.7799964e-01,7.99987e-05,
2.7899963e-01,4.79999e-04,
2.7999961e-01,1.59999e-04,
2.8099960e-01,4.79999e-04,
2.8199959e-01,2.39999e-04,
2.8299958e-01,4.79999e-04,
2.8399956e-01,1.59999e-04,
2.8499955e-01,4.79999e-04,
2.8599954e-01,2.39999e-04,
2.8699952e-01,5.60000e-04,
2.8799951e-01,2.39999e-04,
2.8899950e-01,4.79999e-04,
2.8999949e-01,2.39999e-04,
2.9099947e-01,5.60000e-04,
2.9199946e-01,2.39999e-04,
2.9299945e-01,6.39999e-04,
2.9399943e-01,3.19999e-04,
2.9499942e-01,5.60000e-04,
2.9599941e-01,3.19999e-04,
2.9699939e-01,5.60000e-04,
2.9799938e-01,3.19999e-04,
2.9899937e-01,5.60000e-04,
